Destination,Flight Price,Departure,Return Trip,Route from Origin,Route from Destination
Bangkok,€1444,Sat Feb 8th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1444,Sat Feb 8th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1444,Sat Feb 8th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1458,Wed Feb 26th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1460,Tue Mar 4th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1462,Tue Mar 4th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1471,Tue Mar 4th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1471,Sun Feb 23rd 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1473,Wed Feb 26th 2025,Fri Apr 4th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1473,Tue Mar 4th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1473,Sun Feb 23rd 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1473,Wed Mar 5th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1501,Tue Mar 4th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1501,Tue Mar 4th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1505,Wed Feb 19th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1507,Wed Feb 19th 2025,Wed Mar 26th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1507,Fri Feb 14th 2025,Wed Mar 26th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1520,Tue Feb 25th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1521,Tue Mar 4th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1521,Tue Feb 25th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1522,Tue Feb 25th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1523,Tue Mar 4th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1523,Tue Feb 25th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1532,Mon Mar 3rd 2025,Fri Apr 4th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1577,Wed Mar 5th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1578,Tue Mar 4th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1578,Tue Mar 4th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1580,Tue Mar 4th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1580,Wed Mar 5th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Tue Mar 4th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Tue Mar 4th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Sun Feb 23rd 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Sun Feb 23rd 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Sun Feb 23rd 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Tue Mar 4th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Wed Mar 5th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Wed Mar 5th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1583,Wed Mar 5th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1613,Tue Feb 11th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1613,Tue Feb 11th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1613,Tue Feb 11th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1615,Tue Feb 11th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1669,Mon Feb 24th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1675,Mon Mar 3rd 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1690,Tue Mar 4th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1690,Tue Mar 4th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1690,Tue Mar 4th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1690,Wed Mar 5th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1690,Wed Mar 5th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1690,Wed Mar 5th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€1711,Sat Mar 1st 2025,Sun Mar 16th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2086,Tue Feb 25th 2025,Tue Apr 1st 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2175,Tue Mar 4th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2213,Tue Mar 4th 2025,Tue Apr 1st 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2213,Tue Mar 4th 2025,Thu Apr 3rd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2225,Tue Mar 4th 2025,Fri Apr 4th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2238,Mon Mar 3rd 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2238,Tue Feb 25th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2239,Wed Feb 26th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2254,Tue Mar 4th 2025,Mon Mar 31st 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2266,Wed Feb 26th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2296,Wed Feb 26th 2025,Thu Apr 3rd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2344,Thu Feb 20th 2025,Tue Apr 1st 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2344,Wed Feb 19th 2025,Fri Apr 4th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Bangkok,€2344,Tue Feb 18th 2025,Fri Apr 4th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA)
Dubai,€593,Thu Feb 27th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€593,Wed Feb 26th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€593,Tue Feb 25th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€596,Wed Feb 26th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€596,Thu Feb 27th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€596,Tue Feb 25th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Wed Feb 26th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Thu Feb 27th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Thu Feb 27th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Wed Feb 26th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Mon Feb 24th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Wed Feb 26th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Wed Mar 5th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Tue Feb 25th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€598,Tue Feb 25th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€601,Mon Feb 24th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€601,Wed Feb 26th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€603,Mon Feb 24th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€603,Mon Feb 24th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€603,Wed Feb 26th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€603,Wed Feb 26th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€603,Wed Mar 5th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€603,Wed Mar 5th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€612,Wed Feb 26th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€612,Thu Feb 27th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€612,Tue Feb 25th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€614,Wed Feb 26th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€614,Thu Feb 27th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€614,Tue Feb 25th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€617,Mon Feb 24th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€617,Wed Feb 26th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€617,Wed Mar 5th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€619,Mon Feb 24th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€619,Wed Feb 26th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€619,Wed Mar 5th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€620,Wed Feb 26th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€620,Thu Feb 27th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€621,Wed Feb 26th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€621,Thu Feb 27th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€627,Wed Feb 26th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€627,Thu Feb 27th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€627,Wed Feb 26th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€627,Thu Feb 27th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€632,Mon Feb 24th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€632,Mon Feb 24th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€632,Wed Feb 26th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€632,Wed Feb 26th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€632,Wed Mar 5th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€632,Wed Mar 5th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€641,Thu Feb 27th 2025,Wed Mar 26th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€641,Wed Feb 26th 2025,Wed Mar 26th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€643,Wed Feb 26th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€643,Thu Feb 27th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€664,Wed Feb 26th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€664,Thu Feb 27th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€664,Thu Feb 27th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€664,Wed Feb 26th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€664,Wed Feb 26th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€664,Thu Feb 27th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€669,Mon Feb 24th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€684,Sat Mar 1st 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€686,Sat Mar 1st 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€691,Tue Feb 25th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€691,Mon Mar 3rd 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€691,Tue Mar 4th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€691,Sat Feb 22nd 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€691,Fri Feb 28th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€691,Sun Mar 2nd 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€691,Wed Mar 5th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€693,Tue Feb 25th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€693,Mon Mar 3rd 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€693,Tue Mar 4th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
Dubai,€693,Sat Feb 22nd 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA)
