Destination,Flight Price,Departure,Return Trip,Route from Origin,Route from Destination,airline
Bangkok,1577.0,Wed Mar 5th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Lufthansa
Bangkok,1578.0,Tue Mar 4th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Cathay Pacific
Bangkok,1578.0,Tue Mar 4th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Vietnam Airlines
Bangkok,1580.0,Tue Mar 4th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Qatar Airways
Bangkok,1580.0,Wed Mar 5th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Qatar Airways
Bangkok,1583.0,Tue Mar 4th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Qatar Airways
Bangkok,1583.0,Tue Mar 4th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Emirates
Bangkok,1583.0,Sun Feb 23rd 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Emirates
Bangkok,1583.0,Sun Feb 23rd 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Thai Airways
Bangkok,1583.0,Sun Feb 23rd 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Thai Airways
Bangkok,1583.0,Tue Mar 4th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Vietnam Airlines
Bangkok,1583.0,Wed Mar 5th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Air France
Bangkok,1583.0,Wed Mar 5th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),KLM
Bangkok,1583.0,Wed Mar 5th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Lufthansa
Bangkok,1613.0,Tue Feb 11th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Emirates
Bangkok,1613.0,Tue Feb 11th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Thai Airways
Bangkok,1613.0,Tue Feb 11th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Qatar Airways
Bangkok,1615.0,Tue Feb 11th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Vietnam Airlines
Bangkok,1669.0,Mon Feb 24th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Qatar Airways
Bangkok,1675.0,Mon Mar 3rd 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Saudia
Bangkok,1690.0,Tue Mar 4th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Qatar Airways
Bangkok,1690.0,Tue Mar 4th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Condor
Bangkok,1690.0,Tue Mar 4th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Qatar Airways
Bangkok,1690.0,Wed Mar 5th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Condor
Bangkok,1690.0,Wed Mar 5th 2025,Sat Mar 29th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Emirates
Bangkok,1690.0,Wed Mar 5th 2025,Sat Mar 15th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Thai Airways
Bangkok,1711.0,Sat Mar 1st 2025,Sun Mar 16th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),KLM
Bangkok,2086.0,Tue Feb 25th 2025,Tue Apr 1st 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Condor
Bangkok,2175.0,Tue Mar 4th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Thai Airways
Bangkok,2213.0,Tue Mar 4th 2025,Tue Apr 1st 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Emirates
Bangkok,2213.0,Tue Mar 4th 2025,Thu Apr 3rd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Vietnam Airlines
Bangkok,2225.0,Tue Mar 4th 2025,Fri Apr 4th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Emirates
Bangkok,2238.0,Mon Mar 3rd 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Air France
Bangkok,2238.0,Tue Feb 25th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Air France
Bangkok,2239.0,Wed Feb 26th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Saudia
Bangkok,2254.0,Tue Mar 4th 2025,Mon Mar 31st 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Etihad Airways
Bangkok,2266.0,Wed Feb 26th 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Thai Airways
Bangkok,2296.0,Wed Feb 26th 2025,Thu Apr 3rd 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Etihad Airways
Bangkok,2344.0,Thu Feb 20th 2025,Tue Apr 1st 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Air France
Bangkok,2344.0,Wed Feb 19th 2025,Fri Apr 4th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Emirates
Bangkok,2344.0,Tue Feb 18th 2025,Fri Apr 4th 2025,Frankfurt (FRA) → Bangkok (BKK),Bangkok (BKK) → Frankfurt (FRA),Saudia
Dubai,593.0,Thu Feb 27th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,593.0,Wed Feb 26th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,593.0,Tue Feb 25th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,596.0,Wed Feb 26th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,596.0,Thu Feb 27th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,596.0,Tue Feb 25th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,598.0,Wed Feb 26th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,598.0,Thu Feb 27th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,598.0,Thu Feb 27th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,598.0,Wed Feb 26th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,598.0,Mon Feb 24th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,598.0,Wed Feb 26th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,598.0,Wed Mar 5th 2025,Fri Mar 14th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,598.0,Tue Feb 25th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,598.0,Tue Feb 25th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,601.0,Mon Feb 24th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,601.0,Wed Feb 26th 2025,Thu Mar 6th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,603.0,Mon Feb 24th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,603.0,Mon Feb 24th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,603.0,Wed Feb 26th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,603.0,Wed Feb 26th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,603.0,Wed Mar 5th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,603.0,Wed Mar 5th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,612.0,Wed Feb 26th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,612.0,Thu Feb 27th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,612.0,Tue Feb 25th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,614.0,Wed Feb 26th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,614.0,Thu Feb 27th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,614.0,Tue Feb 25th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,617.0,Mon Feb 24th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,617.0,Wed Feb 26th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,617.0,Wed Mar 5th 2025,Wed Mar 12th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,619.0,Mon Feb 24th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,619.0,Wed Feb 26th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,619.0,Wed Mar 5th 2025,Fri Mar 21st 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,620.0,Wed Feb 26th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,620.0,Thu Feb 27th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,621.0,Wed Feb 26th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,621.0,Thu Feb 27th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,627.0,Wed Feb 26th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,627.0,Thu Feb 27th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,627.0,Wed Feb 26th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,627.0,Thu Feb 27th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,632.0,Mon Feb 24th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,632.0,Mon Feb 24th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,632.0,Wed Feb 26th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,632.0,Wed Feb 26th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,632.0,Wed Mar 5th 2025,Wed Mar 19th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,632.0,Wed Mar 5th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,641.0,Thu Feb 27th 2025,Wed Mar 26th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,641.0,Wed Feb 26th 2025,Wed Mar 26th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,643.0,Wed Feb 26th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,643.0,Thu Feb 27th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,664.0,Wed Feb 26th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,664.0,Thu Feb 27th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,664.0,Thu Feb 27th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
Dubai,664.0,Wed Feb 26th 2025,Thu Mar 20th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,664.0,Wed Feb 26th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Emirates
Dubai,664.0,Thu Feb 27th 2025,Tue Mar 18th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Qatar Airways
Dubai,669.0,Mon Feb 24th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Dubai (SHJ),Dubai (SHJ) → Frankfurt (FRA),Lufthansa
