hotel_172,hotel_124,Superior Double Room,479.37,9108
hotel_175,hotel_125,Executive Suite,321.74,6113
hotel_178,hotel_126,Deluxe Triple Room,348.0,6612
hotel_181,hotel_127,Deluxe King Room,334.11,6348
hotel_184,hotel_128,Double Room,109.26,2076
hotel_187,hotel_129,Superior Apartment,399.11,7583
hotel_190,hotel_130,Superior Double or Twin Room,402.84,7654
hotel_193,hotel_131,Suite with Sauna,191.95,3647
hotel_196,hotel_132,Superior Double Room,401.05,7620
hotel_199,hotel_133,Suite with City View,203.37,3864
hotel_202,hotel_134,Deluxe Double or Twin Room with Garden View,243.63,4629
hotel_205,hotel_135,Superior Triple Room,149.21,2835
hotel_208,hotel_136,Double or Twin Room,210.95,4008
hotel_211,hotel_137,Superior Double Room,196.16,3727
hotel_214,hotel_138,Two-Bedroom Apartment,410.42,7798
hotel_217,hotel_139,Superior Double Room,171.26,3254
hotel_220,hotel_140,Comfort Quadruple Room,143.89,2734
hotel_223,hotel_141,Deluxe Double or Twin Room,249.58,4742
hotel_226,hotel_142,Classic Double Room,442.95,8416
hotel_229,hotel_143,Standard Double Room - Annex,265.58,5046
hotel_232,hotel_144,Deluxe Quadruple Room with Private Bathroom,215.84,4101
hotel_235,hotel_145,Deluxe Double Room,265.42,5043
hotel_238,hotel_146,Deluxe Double or Twin Room,200.47,3809hotel_200,hotel_200,Double Room,192.42,3656
hotel_200,hotel_200,Small Double Room with Kitchenette,88.37,1679
hotel_203,hotel_201,Standard Twin Room,189.21,3595
hotel_206,hotel_202,Large Standard Guest Room with Twin Beds,151.0,2869
hotel_209,hotel_203,Standard King Room,172.89,3285
hotel_212,hotel_204,Economy Double Room with Shared Bathroom,88.21,1676
hotel_215,hotel_205,Superior Double Room,272.63,5180
hotel_218,hotel_206,Commodore Room,93.32,1773
hotel_221,hotel_207,Duplex Suite,602.79,11453
hotel_224,hotel_208,Standard Queen Room,108.95,2070
hotel_227,hotel_209,Standard Twin Room,150.11,2852
hotel_230,hotel_210,Zoku Loft Garden View,184.95,3514
hotel_233,hotel_211,Large Room,169.42,3219
hotel_236,hotel_212,Deluxe Double Room,115.0,2185
hotel_239,hotel_213,Standard King Room,180.26,3425
hotel_242,hotel_214,King Room,161.79,3074
hotel_245,hotel_215,Economy Double Room,77.21,1467
hotel_248,hotel_216,Superior Twin,107.63,2045
hotel_251,hotel_217,One-Bedroom Apartment,183.79,3492
hotel_254,hotel_218,One-Bedroom Apartment,225.37,4282
hotel_257,hotel_219,Standard King Room - High Floor,168.05,3193
hotel_260,hotel_220,Standard Twin Room,200.89,3817
hotel_263,hotel_221,Standard Double Room with King Bed,116.11,2206
hotel_266,hotel_222,Standard Twin Room,163.95,3115
hotel_269,hotel_223,Standard Double Room,198.42,3770
hotel_272,hotel_224,Standard Single Room,170.16,3233
hotel_275,hotel_225,Moxy Queen Room,114.53,2176
hotel_278,hotel_226,Studio Apartment,82.42,1566
hotel_281,hotel_227,Medium Deluxe Double Room,203.21,3861
hotel_284,hotel_228,Standard Double Room,194.74,3700
hotel_287,hotel_229,Tower Deluxe Studio Apartment 50m2 Lower Floor,257.68,4896
hotel_290,hotel_230,Standard Double Room,162.26,3083
hotel_293,hotel_231,2 Bed Room Apartment with Sea View,372.42,7076
hotel_296,hotel_232,King Room,182.11,3460
hotel_299,hotel_233,Twin Room,181.63,3451
hotel_302,hotel_234,King Room,170.53,3240
hotel_305,hotel_235,Superior Double or Twin Room,245.16,4658
hotel_308,hotel_236,Upgraded Modest,171.47,3258
hotel_311,hotel_237,Standard King Room,219.05,4162
hotel_314,hotel_238,Queen Room,182.74,3472
hotel_317,hotel_239,Family Room (2 Adults + 1 Child),220.47,4189
hotel_300,hotel_300,Apartment with City View,200.89,3817
hotel_303,hotel_301,King Room - DXB Free Airport Drop-Off T1&T3 every hour (24/7),60.74,1154
hotel_306,hotel_302,Superior King Room,101.74,1933
hotel_309,hotel_303,Superior Queen/Twin Room with Free Beach Transfer,119.74,2275
hotel_312,hotel_304,Superior Room King,289.53,5501
hotel_315,hotel_305,Classic Studio King,95.79,1820
hotel_318,hotel_306,Premier Two Bedroom Suite with Balcony,293.63,5579
hotel_321,hotel_307,Two-Bedroom Apartment,352.63,6700
hotel_324,hotel_308,One-Bedroom Apartment,263.74,5011
hotel_327,hotel_309,Twin Room with 20% off F&B,60.21,1144
hotel_330,hotel_310,Deluxe King Room with Creek view,198.47,3771
hotel_333,hotel_311,Studio with Ocean View,275.11,5227
hotel_336,hotel_312,Deluxe King Room with Palm Sea View & kitchenette,322.0,6118
hotel_339,hotel_313,Superior King Studio,124.89,2373
hotel_342,hotel_314,Studio Apartment,132.68,2521
hotel_345,hotel_315,One-Bedroom Apartment,332.26,6313
hotel_348,hotel_316,Studio with Balcony,319.05,6062
hotel_351,hotel_317,Cozy Queen Room with City View,76.42,1452
hotel_354,hotel_318,Urban King Room with 20% Discount on SPA,63.42,1205
hotel_357,hotel_319,"Family Junior Suite with exclusive Tamr Pool, Beach & Splash Park Access",366.53,6964
hotel_360,hotel_320,Sunrise Room,651.89,12386
hotel_363,hotel_321,Studio Apartment,235.74,4479
hotel_366,hotel_322,One-Bedroom Apartment,114.05,2167
hotel_369,hotel_323,Deluxe Double Room,71.79,1364
hotel_372,hotel_324,Deluxe King Studio,195.32,3711
hotel_375,hotel_325,Standard Room,79.32,1507
hotel_378,hotel_326,Standard Double Room - Non-Smoking,59.16,1124
hotel_381,hotel_327,Collection King Room,175.42,3333
hotel_384,hotel_328,Scene Coastal Room,172.21,3272
hotel_387,hotel_329,King Studio Suite with City View,82.95,1576
hotel_390,hotel_330,Standard Double Room,58.53,1112
hotel_393,hotel_331,"Deluxe Room, 20% F&B ,Salon, Spa Discount, with Complimentary Shuttle to Dubai Mall & La Mer Beach",79.95,1519
hotel_396,hotel_332,Scene Room,106.63,2026
hotel_399,hotel_333,Superior Apartment,221.47,4208
hotel_402,hotel_334,One-Bedroom Apartment,288.89,5489
hotel_405,hotel_335,Queen Room - Non-Smoking,54.58,1037
hotel_408,hotel_336,Two-Bedroom Apartment,390.05,7411
hotel_411,hotel_337,Superior Studio,68.11,1294
hotel_414,hotel_338,Premier Lagoon View Room,360.11,6842
hotel_417,hotel_339,Standard King Room,63.32,1203
hotel_420,hotel_340,Double Room with Two Double Beds,189.47,3600
hotel_423,hotel_341,Studio 1 King Bed - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off,110.63,2102
hotel_426,hotel_342,Superior King Room,161.16,3062
hotel_429,hotel_343,Boutique Room,193.11,3669
hotel_432,hotel_344,One-Bedroom Apartment,241.26,4584
hotel_435,hotel_345,Superior Apartment,237.37,4510
hotel_438,hotel_346,Deluxe Studio,109.26,2076
hotel_441,hotel_347,Two-Bedroom Apartment,389.74,7405
