room_type,price_per_night,total_price,hotel_UUID,price_UUID
Double bed,680.0,12920,cf8cc99d-7ac7-43aa-9eb4-de0c95159026,744ca606-24d1-47bf-9521-cd9f81aa4e7e
Double bed,829.0,15751,d70fc9f1-1c30-4a3c-8373-75e3ca223d01,595fa59c-0a39-4e49-ae81-96eae390c607
Double bed,621.0,11799,af5578e7-f7fb-4c78-9c13-3c09cb306c40,481b6680-48eb-4a3b-a471-3182f6c6ca9c
Double bed,838.0,15922,ffe2d66b-1d71-495a-ac50-a8a98b1632e2,85df0615-2bde-4c8f-adbc-c955f0beebc9
Double bed,813.0,15447,f71b7db4-07f4-4791-ab80-0a08e80f7010,a641a80d-936e-4957-bb8a-b27d92df48a2
Double bed,730.0,13870,e6b04729-0164-4cbd-91f4-9b0fc9c4a8a4,f09eea7d-84a0-44d6-a97a-0594563f2ecc
Double bed,153.0,2907,2dfab201-e2e9-44dc-918b-ff09389ba153,6b9bbc91-8273-4fb0-bf7f-068a68b4b426
Double bed,995.0,18905,51c6fdb5-14c4-4342-91a3-3606813241b4,53e29e57-11c9-4c24-92d4-fc0ce90f7fc0
Double bed,190.0,3610,61330542-7d73-4d1f-a370-33b0f7300afd,1ef8fe38-9f60-4f85-a63b-dcf0ed0e2f61
Double bed,706.0,13414,ce6e32af-eaa2-45d1-853e-221fa45180d2,fc00cc7c-8f4d-40f7-80dc-513c338d0e63
Double bed,871.0,16549,b6fbdbf8-5971-4817-9d3b-1915f2b9bc3a,ece11e0b-050e-4126-a14e-07ec235ae61b
Double bed,712.0,13528,af790d99-2bc8-4780-9c89-3543d72c0843,a257398a-3544-4843-966b-3548bd09cd8c
Double bed,1215.0,23085,1fa6e1e6-0020-448c-a976-ae883373ad7d,4d0a25e9-9203-49e9-978d-fc45c26bdb7c
Double bed,383.0,7277,dba266ea-90a4-4ee2-835e-8f425c39e89c,3b05a137-a7a9-4e7d-98b7-c3d1850af943
Double bed,163.0,3097,effe4798-998d-4f87-9409-f3a58185c5dc,79aef18c-80b6-4b16-9cc2-58d5db8a47a6
Double bed,549.0,10431,e970e248-5208-4f93-b1c6-8cd0899f4a27,bffd801b-549d-452b-b67d-417ca2e1c41e
Double bed,939.0,17841,b026350a-9bb6-41ae-a853-92d4beb657f7,3488c23b-e99e-446c-ae68-c2a7ab142671
Double bed,868.0,16492,f48445cb-4c4a-44f2-9b79-167415592e56,ed4c850f-bbbd-4c61-ab98-0c0136c288be
Double bed,648.0,12312,d84f1083-1821-4e2c-98ad-87c81ef3823f,9096cb5c-d154-484d-94db-8d3f87ff4f95
Double bed,840.0,15960,cb1f50a2-19c2-4eb1-9f53-6831015b73d4,8a6225e6-8fbe-49d7-8acb-34e86f0a585b
Double bed,901.0,17119,2b813dd7-37b7-4e9b-9281-36945c667ee8,d9bacad0-0f10-4a90-a0e1-fd62c90273b6
Double bed,1300.0,24700,d6911690-688b-4f5d-9a6e-49f751975896,bbaf0718-8080-4551-860e-ef29bc6c85e4
Double bed,491.0,9329,4026c716-b9e1-4e07-913d-3a793fca366e,329cfc02-214b-42b0-8d43-38965fa03442
Double bed,677.0,12863,9e325a45-067a-4929-9094-44d94d69e67c,48197aa4-7a07-4df2-9efe-9323197510e3
Double bed,136.0,2584,b793abb9-3c9c-404d-90fa-2b51455fb392,91a237f1-0b91-45d5-a37d-7247780fd9ca
Double bed,900.0,17100,d2476a2d-e1e8-4941-a829-ae53253e1bca,adccfa0c-2ec4-4f66-b525-eec29a815582
Double bed,748.0,14212,fcf0200b-3cbc-4510-a1a9-346f310aa7ee,21146e8a-ff2a-4b7d-b0d1-32bb14bd8d7b
Double bed,640.0,12160,6495cfbd-945b-44f4-8aba-f1108fa21d15,7cd909fc-c163-4053-aeab-18165c2f13fb
Double bed,604.0,11476,124ddb62-f77a-4685-838b-a0e2a61f48ef,0a6aa0b6-aa52-4106-8639-2000b29ed537
Double bed,836.0,15884,e34517da-0d90-4954-a070-2da632499d1d,c8ebb31e-c146-4046-ad19-d53e246dae61
Double bed,967.0,18373,4dba44a2-fcde-4fcd-9733-fb81b5e6a2c0,1bbe8564-6144-4ed2-899e-9d99db30ae54
Double bed,859.0,16321,602faaf3-a830-4dbb-bc93-c5181221cfae,95907d84-6d99-44dc-a83b-2a5c059ba4d8
Double bed,751.0,14269,f2cf4ccc-7391-4bd1-8cf3-7ffc02900dd2,9258b022-52c4-4f7a-8ea8-82b86ed52cb2
Double bed,855.0,16245,c14c3b4a-72e6-4bc2-8e69-8239357029a1,545f0f27-b482-4f91-8cde-d6b98ed8f0a5
Double bed,696.0,13224,a585ca98-1f30-4681-aacb-1eaa31c5c371,67f385da-3ab1-4600-bf92-13a4f14d4eb5
Double bed,160.0,3040,5a9b3f4c-fe6a-4d9d-912f-f3de513eaab8,b48ae171-ac2a-48e7-914f-3cdda87ad33d
Double bed,591.0,11229,6e3c3b95-2572-4d8b-94de-737b1467b926,2bd6d1be-5a24-45da-9b6c-36d92c2af0ba
Double bed,811.0,15409,15acc824-2c21-4691-9a14-828f967fa882,995a010e-1468-45e4-8ee9-b441e36462a1
Double bed,791.0,15029,9b381c70-0ed7-4df3-85e7-0c649ae0cce5,66eec815-91e9-45dc-9c33-e3bab379df49
Double bed,811.0,15409,1930786f-9ae4-4865-bdf1-a705f2c493d4,3eee3a07-dd26-4de4-bf49-17f629ca0a00
Double bed,839.0,15941,94eb1074-9637-4a57-81f4-b41cc0919c82,ce70d3ec-931d-4dd7-b9bd-c066fd5c85d3
Double bed,837.0,15903,2b2fdb08-8c74-4dc8-82c2-bf87e64b780a,3b85c77c-9eb2-431c-9e6b-6406fc715f0a
Double bed,846.0,16074,afa6c331-f254-4a12-831d-9bf08a8b85ba,065f2226-2dfa-43cc-9a77-0ce9efa0efff
Double bed,771.0,14649,06e3db16-add2-4c67-8e53-145950877871,1bd1316b-006a-4074-bab0-8212f9a70865
Double bed,931.0,17689,92fd6d5c-3eaf-4f26-a1ff-4683d219bbd5,6a9d965f-1f3c-48bb-bed5-e7ea2cd3c603
Double bed,752.0,14288,b45b5250-d9fe-4b39-b17c-61e7cab93d04,cc690891-e0a9-4b24-8775-284007d52b74
Double bed,874.0,16606,9620b1b1-beab-4378-a198-6a8184a35828,b3099920-8035-48ea-8281-27c731997d31
Double bed,755.0,14345,895de938-ea1b-42f0-8688-4a5a3bec3d7b,bef3a604-1dc1-41d4-8a3f-b627e073318f
Double bed,174.0,3306,504b9a8f-4a7c-4706-a4d2-9f77be598984,f21beb64-6412-4e9c-baf7-7f957121833a
Double bed,313.0,5947,c94d230a-04c6-4ef0-8c6d-5e772a2bf785,03338a34-60da-409d-b952-74e6598a4fea
Double bed,110.0,2090,0f3a59b0-de6a-4e06-942d-8dff34111949,25830595-d696-4456-8f45-b462014a22f5
Double bed,174.0,3306,630ea127-8733-46e8-a9a0-c6de751e4ff1,2895b886-8f11-45b3-9bf2-d944bf190ff2
Double bed,313.0,5947,178db732-e8bf-4898-8893-f948e7668c7a,eda2e8e7-17b3-4683-8b99-03c4c96b88b8
Double bed,150.0,2850,a1fb8ea2-9af4-4dc0-8923-af702ca3f73d,b59c336b-a997-470e-8902-e9b1c375af65
Double bed,203.0,3857,18b8439c-88db-4376-92aa-e2ba6779fc2e,12fc4d2d-e1f1-4532-bd15-c343913fc343
Double bed,138.0,2622,306be9bf-6c0c-413c-b724-f0da08b39b7e,2695360b-e11c-4972-80fb-f22d60034f7d
Double bed,233.0,4427,c4e1c79a-42c3-4927-b1c4-f11e7a29e56b,ce8e0e62-295f-4c38-b975-8d4689081a2d
Double bed,181.0,3439,6b004c07-4d91-4d2a-8dbb-dc751f076874,149c3c3a-1761-40ab-95a8-3736eef309ca
Double bed,111.0,2109,0ca7d3f4-a3d8-4779-974a-71fbc49ad3e9,ca347630-2994-438f-93a0-92c0555b04ae
Double bed,250.0,4750,a41e8104-320b-4105-baaf-e16f94dac4cd,4aa4c063-4f17-43d8-8f21-a964db39520f
Double bed,254.0,4826,451fe376-f97c-49f0-b733-a2cb821c7150,53b34894-995c-4d1f-a657-cc6de86f9a6a
Double bed,325.0,6175,76e2c975-e0cb-454c-bc9e-12b097b0e814,b3ad929c-c6cb-4a20-a986-ea5568ef8b9f
Double bed,147.0,2793,0a832f9f-fbdc-4db4-a572-b6cfbf8dcbe2,eb629c02-a959-4516-b1df-0a91dacfe965
Double bed,163.0,3097,67702387-2709-4d3a-9fd8-660ed7544b75,2b12b2e4-566e-43ed-92bd-421562cbde88
Double bed,115.0,2185,32d32277-3eff-40f2-852e-9d1e796d6c44,8f968b1c-2bff-4472-8d75-3c2319a904c5
Double bed,106.0,2014,b68ec4b9-6df1-4ece-913e-b7bbf6a5bfca,d32012ad-7d6c-4aa4-bac1-b895020dadd8
Double bed,373.0,7087,681c3243-6450-40f2-a0ae-f8e851d22893,e833fe14-10c9-4e38-818b-6780efe5cef6
Double bed,101.0,1919,e98cb268-48d1-4c3e-8f3b-46a05ea6f1a6,4e0de814-b758-4ad3-8a75-a995567cffe3
Double bed,172.0,3268,89ae7c8e-8222-472f-955c-f579c3fc1a51,03101c73-59be-498d-aa25-bb4658915ae3
Double bed,165.0,3135,9d1ac3d3-f820-4355-8c6a-9bb58e7ab188,37f38eef-4814-4673-a820-49d05e00af97
Double bed,117.0,2223,9a35c707-b28d-4fc1-b765-d1baa03fbf8b,48a210b6-dc12-4b01-bf63-46a725ce2b36
Double bed,123.0,2337,52b9f69a-b54b-4c93-8297-8ae2cc739cd6,d6ee0bbb-7197-4312-a498-d5ecc4625f10
Double bed,120.0,2280,2828d31d-bf27-4813-8540-559b09d8fbaf,d603e157-b65b-4032-90f9-beebc20ae512
Double bed,295.0,5605,9b7e23d4-487f-4f45-86ca-9f3b31203792,46fdfec0-cb8a-4e65-8a07-4f7102a3793b
Double bed,226.0,4294,ddf4af4e-7d1d-4c01-b40a-27cede5ce45d,3d1108b2-3322-4216-95ce-7c6921fb4871
Double bed,199.0,3781,bbf7b11b-07bb-4f6d-b980-b812032b9ffc,20cae675-03a1-4b56-ac5f-c8f4114b57c8
Double bed,200.0,3800,bbc4db2d-ad7d-4859-b07c-1bc706e24397,6c25eeef-4289-4d6c-8d7c-efd8285a5536
Double bed,184.0,3496,1fe68f6c-ee3d-4105-984c-e075a56a7b0c,56a3c96e-3aeb-4912-bffa-98034ff7e0c9
Double bed,220.0,4180,74da1da1-e17e-417d-8150-2dd13d795813,159c4657-e30d-42a2-a894-205eb2ba4435
Double bed,141.0,2679,2c749f6e-e39a-4106-938b-ea53c31fa7fc,4b90dfca-e7f7-4888-8736-a252568a8a70
Double bed,199.0,3781,9c2a4bc1-3bbe-4498-a274-56cfe9973f4d,7683d1dc-c029-4897-b168-2424be3d9272
Double bed,135.0,2565,02b0723c-a43b-4176-8c90-bdc992ae4514,0baa4cf3-9e8a-4d40-86e5-5ae2954c875a
Double bed,237.0,4503,d43b51d1-960d-4a82-b412-ae0f65c02414,73cacc90-5cdc-4bcb-8a8b-805c86ec0b63
Double bed,224.0,4256,6b0e9bba-3fef-4cda-9433-a0adced9ef47,1aa8617d-256b-4213-a30b-e28bdc76fc97
Double bed,176.0,3344,66f94259-5f6b-407a-8ae4-1c450206a5ad,7b7178e2-17c3-4ec0-b45b-0f8f7cc0e49c
Double bed,204.0,3876,a3f03ece-151e-48ee-beee-336351ef71c9,7329b749-284a-45eb-aecb-5f5c72275b21
Double bed,132.0,2508,967533d6-139f-484a-9adb-06afc5dd26d5,4e246a95-90f0-46b7-8382-b3f1c123dfa4
Double bed,150.0,2850,e301e757-340f-4ac5-ba47-bb038bc28569,68ef7159-9730-4b8c-8b4f-deb30ae153fa
Double bed,162.0,3078,4d86bc08-f011-4acf-9101-030cd589a99f,18cd0d48-3454-41b2-94f4-f94b8a673811
Double bed,209.0,3971,60091e58-8891-4cac-b3ea-51a52a9db4bd,6748bbb8-60d0-4a01-9fc5-c9dfb03abd1b
Double bed,240.0,4560,90c125c5-f596-40c9-97ea-1fdda1090443,9f192939-61b6-4298-80f3-63cc5544569a
Double bed,154.0,2926,a30b2975-f63e-481f-8467-590393cf3b73,17da201b-3d52-412f-8490-15c5b6e779bc
Double bed,244.0,4636,2672ff39-4895-47d9-b831-5cbb598999cf,d5fb31ce-7fda-4bf8-a7a3-b9caaf1c7731
Double bed,162.0,3078,ecdcf683-dcd7-4f6e-87dd-7751cfb83fa3,941c8016-6afe-4f12-95fc-ca20f7bf098a
Double bed,161.0,3059,b6f52831-5ac2-4f9a-acb9-6892c95870ec,c240955b-e0ba-49f6-9f23-422b4de166c7
Double bed,139.0,2641,b82df412-6941-475a-8c0f-550222388dfb,7eabe72c-051b-4522-8f86-154250e65ae8
Double bed,210.0,3990,b832af44-8c89-4433-aa4c-9c7692bad24d,9482175d-9860-416e-8d3a-b40204c9bcf9
Double bed,430.0,8170,e0c8b8c6-d7a3-4423-b58e-d2b591357921,f7ae7dad-a9f6-4801-aae9-2b8565d8a1a5
Double bed,181.0,3439,5a866468-1489-40c6-acbc-8770882220d7,9f15efde-835a-4764-b070-ed6a460017b8
Double bed,184.0,3496,a2d85eb8-476d-46d6-9ed8-76000be7783b,e9454db9-da27-4c4d-b63a-4309b4d63e2b
Double bed,164.0,3116,a0db4557-ccb5-4225-9524-a895bb3de85e,bf83fb4b-6902-4c4f-9308-796d34f10bc7
Double bed,144.0,2736,c0ef0393-0b98-4092-b362-43b4fd2b4b71,5576779a-7134-43f6-9fae-4ce83e43e691
Double bed,178.0,3382,4d123aee-ff8f-4791-857f-e0738d068c72,3891eff4-153d-419c-809c-7e45eef54054
Double bed,180.0,3420,2ec89e33-68a9-4ca1-bb63-ed29d4e1ad8f,478a48a6-5d79-4751-b825-a8bc0b4775cc
Double bed,219.0,4161,2efac130-a370-47a1-96c5-c5abd42c25c4,bd080682-e5bd-4477-9859-8b39cefaa399
Double bed,467.0,8873,05793d02-1283-41f1-9c31-846f6bb362fd,39b93608-5689-4094-af29-ba4473d528cc
Double bed,364.0,6916,3a42de79-5310-45e4-9a63-a32cc1daaff6,768c3950-de94-4490-8db4-2b1fedc020d7
Double bed,172.0,3268,63b52244-bf7e-4ee7-9c8f-edfa1076d167,62c9de0b-e67c-4071-bfc3-71b003eab317
Double bed,112.0,2128,4330bda4-cca9-44c4-be6e-bbfb3ea92694,4458e78b-25b6-4ae7-b7ca-012a7bcc7b76
Double bed,244.0,4636,16ddaf5c-12a1-4a9d-800e-5e63b316102f,53d5e592-809d-4b7f-a086-150d7821f9d5
Double bed,172.0,3268,25a8b8fd-9507-475e-9362-0608aae07cf6,9248e0e4-a76c-42af-8147-c37ca83ec2ac
Double bed,173.0,3287,788c83f0-165f-428e-9440-9a7a8f8c400f,f16e802a-092c-4e27-94fb-5cbfcd57181a
Double bed,155.0,2945,a2b965e2-9bbc-4ba4-9b27-085e80e4d1db,0bd5e948-544e-49b4-90f2-5457e0e82d5f
Double bed,269.0,5111,80ee4fba-2690-4520-8adc-a5d1dc09c47b,e4e7dcc8-6a8c-40cd-961d-3e326fad926a
Double bed,127.0,2413,8b771ec6-ef26-410c-a62b-def36269eff1,ad028921-15db-472c-9d00-209773ec2033
Double bed,110.0,2090,eb38090a-0881-4fa3-9b36-6ba4aa1f3dd5,f5413bb3-336d-40cc-a46c-77b41a042821
Double bed,350.0,6650,b292232f-7c0f-4245-9246-11c12c96b4fa,6567385a-880e-45ca-b3a2-c1cb41e933c1
Double bed,130.0,2470,20686693-47f6-461b-ad27-67b9dcd9005d,e6aa2a76-dab8-440d-9a8a-675a60a0d130
Double bed,143.0,2717,a7402ef9-f6f2-4811-9bd5-eeef3fdfaa8f,db44daea-2764-489e-813b-7e2dd1e1a17c
Double bed,280.0,5320,1eed41aa-b58d-48c6-a973-e4877762d0c5,a6893aa1-95fd-45cc-9ce9-7e1d2153fa71
Double bed,167.0,3173,9f9480f0-e4af-4d21-9348-8e85fa338e90,88f42f64-e4ea-4c85-80fd-4d19ff759e01
Double bed,204.0,3876,643f53d2-d9ff-408d-bc89-636cf5ff82a5,7c2a259e-2e33-45da-ba3a-2d00e8a52175
Double bed,133.0,2527,4650e4d7-50b8-4c6a-8319-d2c578e899ac,59e3abaf-336e-4422-bff4-50cf9ff2189e
Double bed,188.0,3572,59d8a9e9-581e-4d51-b28a-b5178a028932,f4c1ad0d-2d79-418a-a831-28d12469c4a2
Double bed,192.0,3648,3a06ad80-40b3-4397-b62c-5b72f0bf7eef,85500ef3-6455-419d-b17e-736806f5f2f9
Double bed,328.0,6232,c4e03531-aea7-460b-b564-0337e9ac6f0b,2c0e22b5-b367-4aa9-9f51-f66c9f798ae1
Double bed,199.0,3781,fbb60401-c274-499f-b26d-54d768682926,00e0423c-c916-4bd8-b849-b150447a8e8e
Double bed,191.0,3629,5e532f88-622c-4025-8ab2-770f000b4ba2,8fbf1d0b-aa8c-4268-9509-a8a708722f6a
Double bed,138.0,2622,b03611fd-acce-4315-945c-b9a8ea67cccf,ef6faf53-d595-4ca9-a028-a1e5e7145d1e
Double bed,64.0,1216,68672da8-db17-40af-a531-49ba08112135,ac3eca9f-069d-48fe-b8a9-4bf84a438b7e
Double bed,92.0,1748,86df46e7-f16a-4c04-a187-3bd709ec67c9,53757461-f0c6-4944-b95a-e412872d3cc9
Double bed,185.0,3515,f82350b6-6f2c-4ec0-8baf-436364b31316,510ac9a4-9560-4bc8-93af-9e2efb34fb04
Double bed,217.0,4123,99eb034e-7ce4-4e2f-beb8-3d72f89328dd,f131c10c-d29e-4afb-8386-ac01be0a48e1
Double bed,130.0,2470,59243f03-514c-4953-b8df-7fa24483d045,f12428bf-44cb-48ab-af7b-b96d2c4024db
Double bed,134.0,2546,807d011c-fecf-4482-a534-747a3a882f81,4ce947fc-52c5-4a98-99f3-a49aa2d3dac7
Double bed,185.0,3515,23424354-0691-4e04-b7ac-5898e74b09e7,10eeb11f-7463-4d2a-83c8-2aeaaa8f7f86
Double bed,128.0,2432,b4f3d943-4548-43af-aabc-879767e254a6,7dadbd14-3abf-4af8-81a7-baa1954285c4
Double bed,231.0,4389,53fc0203-e816-4438-b11e-87b2c2a1c72c,ba59ce5b-c956-4058-afab-e4bff7b3f546
Double bed,237.0,4503,7a806167-8fd9-464a-bed6-3bbb4280c1bc,82249ba3-da49-4214-9321-6b6a54abc088
Double bed,98.0,1862,c90b0bf5-4dc4-4ab9-9c2b-83b3a4b42e37,f5df896b-69e7-4c27-aedd-c88f55a996e7
Double bed,155.0,2945,8e9b6596-ebc4-4a2a-9420-1fb0c0f38a05,c82a7a26-2834-4304-9bea-bda7aade1f79
Double bed,275.0,5225,96b503cc-3cf4-4c0e-a4e8-50261ce996fb,afadde64-c2fd-4ccd-8025-8ac8dc1ca486
Double bed,202.0,3838,5283f4fd-dacd-4264-8c95-ef203e7770e7,1f5ca214-7d3f-43b9-b9ce-3748008e12e4
Double bed,373.0,7087,df1b01e0-d941-4f75-a8ac-f3a3d97a883f,ecbea56d-4313-49a6-97bf-3166cbaa939c
Double bed,162.0,3078,84597220-e127-412c-b0f2-7dcc8efbfa90,80d069b1-d0c5-4df6-b2b2-72eeab97a93a
Double bed,265.0,5035,905557fb-5e16-40e0-a206-18b6016d2edd,5d3c12b1-cc78-475b-9f50-ce874ec7ac60
Double bed,229.0,4351,5e5b348f-93a6-4f90-93b2-3314419b42be,fdb67445-12bc-48c1-8e9c-ab5af852c01a
Double bed,138.0,2622,9f82f820-b923-41cd-b0bb-9257d7c4ab75,f3301007-9d02-43c7-8da6-32ed13e38dcd
Double bed,170.0,3230,dd64b1c8-6343-4a4b-bde7-ca949a7dd409,4f423a8a-7239-4aec-8fec-adb915f3f21b
Double bed,131.0,2489,0b870e3f-3264-451d-8727-c135fd407605,ac96809e-e912-46f4-8c22-167bbb051f97
Double bed,148.0,2812,9a70f619-3601-4a26-b4b8-27800eb3b52d,0dfbc9fb-e433-4bcf-93b9-2abc14fdf572
Double bed,125.0,2375,bda2a8b0-3f72-4aa7-ad7d-aca715628cd6,09f86844-4287-42a6-8b74-434432bf6285
Double bed,79.0,1501,b5f4d676-314b-405e-a9c2-6a9ebf416f2e,5eba5c15-6bc7-4c36-8f3f-9b60bf7456cd
Double bed,212.0,4028,14ae3383-94e1-4eaf-903d-99d1f89d5feb,b22783cb-b6b0-405a-82d4-da3efaa6ae1e
Double bed,143.0,2717,3eb44ee7-7749-4482-a0b7-9d11f2f10a24,7346f986-9c47-4ba8-9a16-42915c544cc7
Double bed,191.0,3629,0d95eab2-d1a2-4341-b520-5e93a2f4836b,98d8de02-67dd-4576-b479-5ea2e5c294af
Double bed,44.0,836,d498c670-d25a-4035-a71b-00f5d011e100,4224efd6-2eed-46c8-9f21-9b0983232bc7
Double bed,238.0,4522,d28c4ba9-20e0-4073-bae6-80f0e35101da,f950cc0a-0755-4a55-bd78-db0cc0dca058
